Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
2015-01-01,AXISBANK,EQ,502.4,502.65,504.0,499.05,503.0,503.05,501.48,1351985,67799017229999.99,17713.0,388429.0,0.2873,2015,1,1,0.0,0.0,0.0
2015-01-02,AXISBANK,EQ,503.05,503.2,516.9,501.7,514.55,514.3,512.32,3852825,197388687335000.0,45686.0,1013697.0,0.2631,2015,1,2,0.0,0.0,0.0
2015-01-05,AXISBANK,EQ,514.3,516.9,520.4,515.1,516.5,517.55,517.76,2561430,132620870675000.0,38963.0,853805.0,0.3333,2015,1,5,0.0,0.0,0.0
2015-01-06,AXISBANK,EQ,517.55,513.55,513.55,496.75,498.5,499.05,503.07,5284530,265849301195000.0,62148.0,2384347.0,0.4512,2015,1,6,0.0,0.0,0.0
2015-01-07,AXISBANK,EQ,499.05,498.8,505.35,494.5,501.0,498.65,499.69,4245189,212127132145000.0,58735.0,1222776.0,0.288,2015,1,7,0.0,0.0,0.0
2015-01-08,AXISBANK,EQ,498.65,506.0,507.0,494.65,499.35,501.95,500.94,5637844,282424359550000.0,104685.0,2780250.0,0.4931,2015,1,8,0.0,0.0,0.0
2015-01-09,AXISBANK,EQ,501.95,504.9,505.9,487.0,493.95,494.95,496.11,5078463,251946698810000.0,102193.0,1879242.0,0.37,2015,1,9,0.0,0.0,0.0
2015-01-12,AXISBANK,EQ,494.95,495.0,503.8,492.15,501.55,501.55,500.02,2290147,114510918759999.98,33498.0,663562.0,0.2897,2015,1,12,0.0,0.0,0.0
2015-01-13,AXISBANK,EQ,501.55,504.0,511.7,500.3,503.8,504.5,506.84,4069260,206246251085000.0,64523.0,1781686.0,0.4378,2015,1,13,0.0,0.0,0.0
2015-01-14,AXISBANK,EQ,504.5,504.5,505.75,494.2,500.0,499.6,499.46,2973231,148501411385000.0,44695.0,1102570.0,0.3707999999999999,2015,1,14,0.0,0.0,0.0
2015-01-15,AXISBANK,EQ,499.6,523.45,523.95,511.1,512.95,514.05,516.26,6670800,344384943105000.0,98924.0,3574210.0,0.5357999999999999,2015,1,15,0.0,0.0,0.0
2015-01-16,AXISBANK,EQ,514.05,516.6,521.5,512.6,514.3,514.8,517.43,6920742,358101178100000.0,85483.0,2101800.0,0.3037,2015,1,16,0.0,0.0,0.0
2015-01-19,AXISBANK,EQ,514.8,519.45,531.8,516.85,529.7,528.95,526.79,6113156,322034152810000.0,85055.0,2617790.0,0.4282,2015,1,19,0.0,0.0,0.0
2015-01-20,AXISBANK,EQ,528.95,532.55,554.7,531.1,552.15,551.4,543.43,6934581,376844831470000.0,98125.0,2283414.0,0.3293,2015,1,20,0.0,0.0,78.63680468357185
2015-01-21,AXISBANK,EQ,551.4,553.0,556.8,545.55,546.4,547.25,550.41,4459351,245446874945000.0,67173.0,1575052.0,0.3532,2015,1,21,0.0,0.0,74.41573075530862
2015-01-22,AXISBANK,EQ,547.25,549.7,567.15,547.8,567.0,564.75,558.53,5546866,309810943890000.0,76912.0,1720884.0,0.3102,2015,1,22,0.0,0.0,79.42998493769298
2015-01-23,AXISBANK,EQ,564.75,571.0,577.4,560.3,566.0,565.15,567.41,4975114,282294283355000.0,68377.0,1428580.0,0.2871,2015,1,23,0.0,0.0,79.52874569419455
2015-01-27,AXISBANK,EQ,565.15,570.9,597.8,567.0,593.25,592.1,582.53,5376830,313214471620000.0,78521.0,1542298.0,0.2868,2015,1,27,0.0,0.0,84.81770915515698
