Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
2015-01-01,HDFCBANK,EQ,951.6,951.0,954.4,945.05,952.3,952.05,949.13,886235,84115191805000.0,12603.0,468601.0,0.5288,2015,1,1,0.0,0.0,0.0
2015-01-02,HDFCBANK,EQ,952.05,950.4,969.3,950.4,968.0,965.3,965.25,1475096,142383832205000.0,23437.0,774971.0,0.5254,2015,1,2,0.0,0.0,0.0
2015-01-05,HDFCBANK,EQ,965.3,970.0,970.55,955.1,958.5,957.15,959.15,1199000,115001917220000.0,25544.0,716913.0,0.5979,2015,1,5,0.0,0.0,0.0
2015-01-06,HDFCBANK,EQ,957.15,954.0,956.55,937.55,941.45,942.25,948.51,2054920,194911014600000.0,30301.0,1410336.0,0.6863,2015,1,6,0.0,0.0,0.0
2015-01-07,HDFCBANK,EQ,942.25,939.7,951.35,936.25,944.8,945.0,946.73,1436528,136000459690000.02,34047.0,703837.0,0.49,2015,1,7,0.0,0.0,0.0
2015-01-08,HDFCBANK,EQ,945.0,954.25,968.95,948.2,964.5,964.85,963.78,2381456,229519267020000.0,54369.0,1562989.0,0.6563,2015,1,8,0.0,0.0,0.0
2015-01-09,HDFCBANK,EQ,964.85,972.9,980.0,966.6,970.0,975.65,974.04,2246296,218797433935000.0,34766.0,1069920.0,0.4763,2015,1,9,0.0,0.0,0.0
2015-01-12,HDFCBANK,EQ,975.65,969.4,974.4,964.5,966.2,967.05,968.74,1031603,99935195305000.0,14478.0,638072.0,0.6185,2015,1,12,0.0,0.0,0.0
2015-01-13,HDFCBANK,EQ,967.05,968.95,971.95,955.7,963.05,963.35,966.42,1457087,140816524905000.0,18396.0,929579.0,0.638,2015,1,13,0.0,0.0,0.0
2015-01-14,HDFCBANK,EQ,963.35,960.05,974.65,959.7,965.0,963.9,966.41,921308,89035851925000.0,18093.0,330211.0,0.3584,2015,1,14,0.0,0.0,0.0
2015-01-15,HDFCBANK,EQ,963.9,990.0,998.2,970.75,988.5,993.15,988.71,2849619,281743293835000.0,44588.0,1699220.0,0.5963,2015,1,15,0.0,0.0,0.0
2015-01-16,HDFCBANK,EQ,993.15,1002.2,1014.9,998.55,1000.5,1001.35,1005.85,1955327,196675596105000.0,26905.0,1193579.0,0.6104,2015,1,16,0.0,0.0,0.0
2015-01-19,HDFCBANK,EQ,1001.35,1013.25,1020.0,1002.95,1005.0,1004.55,1007.93,1059873,106828260155000.0,18632.0,552655.0,0.5214,2015,1,19,0.0,0.0,0.0
2015-01-20,HDFCBANK,EQ,1004.55,1010.0,1027.0,1002.0,1017.8,1020.95,1015.62,2126451,215967244065000.0,26615.0,1380683.0,0.6493000000000001,2015,1,20,0.0,0.0,79.87675771113837
2015-01-21,HDFCBANK,EQ,1020.95,1027.4,1032.95,1018.35,1020.0,1019.95,1025.11,1685153,172746676925000.0,27044.0,1129383.0,0.6702,2015,1,21,0.0,0.0,78.96532017893898
2015-01-22,HDFCBANK,EQ,1019.95,1025.0,1032.5,1018.55,1022.55,1021.25,1023.9,1617670,165634016455000.0,19283.0,1036081.0,0.6405,2015,1,22,0.0,0.0,79.29606077163415
2015-01-23,HDFCBANK,EQ,1021.25,1030.0,1048.0,1024.4,1042.0,1042.8,1042.17,2496978,260227988225000.0,31128.0,1675377.0,0.6709999999999999,2015,1,23,0.0,0.0,83.83387026892966
2015-01-27,HDFCBANK,EQ,1042.8,1043.0,1077.75,1040.9,1068.0,1074.05,1059.75,2490600,263940346225000.0,29603.0,1685111.0,0.6766,2015,1,27,0.0,0.0,87.95621070976478
2015-01-28,HDFCBANK,EQ,1074.05,1070.0,1093.2,1055.0,1059.0,1058.35,1070.38,2841235,304120564290000.0,42669.0,1742620.0,0.6133,2015,1,28,0.0,0.0,77.29247606786154
2015-01-29,HDFCBANK,EQ,1058.35,1075.0,1100.6,1061.0,1093.0,1095.0,1085.47,5141904,558138128220000.0,55963.0,3120205.0,0.6068,2015,1,29,0.0,0.0,82.5968084364809
2015-01-30,HDFCBANK,EQ,1095.0,1094.55,1094.55,1064.25,1081.05,1077.35,1076.43,2642604,284457134345000.0,50681.0,1495064.0,0.5658,2015,1,30,0.0,0.0,73.67163487707548
2015-02-02,HDFCBANK,EQ,1077.35,1068.5,1093.0,1052.35,1081.0,1081.6,1072.08,1427588,153048867795000.0,30586.0,677704.0,0.4747,2015,2,2,0.0,0.0,74.3892709307878
2015-02-03,HDFCBANK,EQ,1081.6,1078.5,1082.2,1055.3,1057.75,1064.1,1066.32,2550172,271930774430000.03,39375.0,1202216.0,0.4714,2015,2,3,0.0,0.0,66.36751052074689
2015-02-04,HDFCBANK,EQ,1064.1,1063.0,1080.8,1057.25,1061.7,1067.7,1071.08,1549378,165950440170000.0,23536.0,890858.0,0.5750000000000001,2015,2,4,0.0,0.0,67.15222996021906
2015-02-05,HDFCBANK,EQ,1067.7,1075.0,1092.8,1070.35,1075.4,1076.5,1082.44,2014787,218088848790000.0,36948.0,858013.0,0.4259,2015,2,5,0.0,0.0,69.05303805142637
2015-02-06,HDFCBANK,EQ,1076.5,1077.0,1078.95,1050.05,1051.05,1053.5,1061.19,1725780,183138160220000.0,32505.0,1002620.0,0.5810000000000001,2015,2,6,0.0,0.0,59.38115822410407
2015-02-09,HDFCBANK,EQ,1053.5,1047.0,1051.75,1034.5,1036.8,1040.1,1040.2,1307974,136055543759999.98,29862.0,623610.0,0.4768,2015,2,9,0.0,0.0,54.58429381133204
2015-02-10,HDFCBANK,EQ,1040.1,1030.0,1062.3,1030.0,1055.8,1054.45,1051.31,2318938,243792662955000.03,44380.0,1157703.0,0.4992,2015,2,10,0.0,0.0,58.454748252534195
2015-02-11,HDFCBANK,EQ,1054.45,1058.0,1064.8,1053.0,1056.7,1058.4,1059.33,1040397,110212213755000.0,20702.0,469319.0,0.4511,2015,2,11,0.0,0.0,59.47844625429545
2015-02-12,HDFCBANK,EQ,1058.4,1065.1,1081.9,1052.7,1074.4,1076.0,1064.91,1381435,147110128810000.0,28509.0,706926.0,0.5117,2015,2,12,0.0,0.0,63.7629766834672
2015-02-13,HDFCBANK,EQ,1076.0,1081.2,1082.0,1063.6,1065.95,1065.8,1069.71,1928625,206307780725000.0,28449.0,1242920.0,0.6445000000000001,2015,2,13,0.0,0.0,59.81564074456834
2015-02-16,HDFCBANK,EQ,1065.8,1075.8,1085.0,1062.5,1063.7,1067.55,1075.64,1847179,198689444680000.0,30671.0,885253.0,0.4792,2015,2,16,0.0,0.0,60.2700799137904
2015-02-18,HDFCBANK,EQ,1067.55,1067.55,1082.95,1057.05,1076.0,1074.8,1075.22,1345423,144663007900000.0,22506.0,649674.0,0.4829,2015,2,18,0.0,0.0,62.17836664635986
2015-02-19,HDFCBANK,EQ,1074.8,1074.0,1084.9,1063.8,1082.0,1079.8,1075.15,1126751,121142881300000.0,20223.0,431042.0,0.3826,2015,2,19,0.0,0.0,63.481113831653055
2015-02-20,HDFCBANK,EQ,1079.8,1083.0,1089.9,1068.5,1070.8,1073.05,1079.11,1551506,167424427795000.0,24813.0,695491.0,0.4483,2015,2,20,0.0,0.0,60.45377029457852
2015-02-23,HDFCBANK,EQ,1073.05,1077.1,1081.55,1062.0,1063.1,1067.5,1071.86,1395391,149566854185000.0,21262.0,753729.0,0.5402,2015,2,23,0.0,0.0,58.00441323421126
2015-02-24,HDFCBANK,EQ,1067.5,1070.3,1071.0,1057.1,1068.0,1067.65,1064.97,1461572,155652480515000.0,23587.0,724250.0,0.4955,2015,2,24,0.0,0.0,58.053878856225516
2015-02-25,HDFCBANK,EQ,1067.65,1070.0,1074.8,1050.0,1051.0,1052.45,1063.52,1162131,123595217705000.0,20975.0,627845.0,0.5403,2015,2,25,0.0,0.0,51.441598101658904
2015-02-26,HDFCBANK,EQ,1052.45,1053.65,1056.0,1035.1,1039.6,1038.15,1041.56,3106736,323585571055000.0,29375.0,1727725.0,0.5561,2015,2,26,0.0,0.0,46.11951218971454
2015-02-27,HDFCBANK,EQ,1038.15,1045.45,1058.55,1045.45,1054.4,1054.0,1053.95,2565446,270385823370000.0,31892.0,1767026.0,0.6888,2015,2,27,0.0,0.0,52.04202705713055
2015-02-28,HDFCBANK,EQ,1054.0,1063.0,1076.8,1044.15,1076.15,1071.2,1060.44,2895345,307032666440000.0,35365.0,1472341.0,0.5085000000000001,2015,2,28,0.0,0.0,57.50129267005394
2015-03-02,HDFCBANK,EQ,1071.2,1080.35,1099.0,1068.0,1081.0,1082.55,1087.72,3596308,391177172175000.0,41596.0,2044851.0,0.5686,2015,3,2,0.0,0.0,60.681954014203725
2015-03-03,HDFCBANK,EQ,1082.55,1086.45,1092.0,1077.05,1081.2,1083.35,1085.82,1507337,163669482100000.0,29564.0,950545.0,0.6306,2015,3,3,0.0,0.0,60.90405588890368
2015-03-04,HDFCBANK,EQ,1083.35,1105.0,1109.3,1060.0,1067.2,1065.3,1085.88,3069406,333301912610000.0,38654.0,1649709.0,0.5375,2015,3,4,0.0,0.0,53.55350184351039
2015-03-05,HDFCBANK,EQ,1065.3,1065.0,1090.0,1062.5,1086.6,1085.1,1076.04,2425613,261006204705000.03,31617.0,1489245.0,0.614,2015,3,5,0.0,0.0,59.34931522236969
2015-03-09,HDFCBANK,EQ,1085.1,1077.05,1081.8,1056.0,1058.0,1059.0,1063.78,1438952,153073002425000.0,24187.0,755252.0,0.5249,2015,3,9,0.0,0.0,50.41814650641701
2015-03-10,HDFCBANK,EQ,1059.0,1062.0,1062.25,1045.0,1051.95,1052.55,1053.9,1283709,135289475709999.98,20764.0,708041.0,0.5516,2015,3,10,0.0,0.0,48.47668241534382
