Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
2015-01-01,INDUSINDBK,EQ,802.45,803.4,814.7,798.4,813.0,812.0,807.73,819116,66162658879999.99,14192.0,268068.0,0.3273,2015,1,1,0.0,0.0,0.0
2015-01-02,INDUSINDBK,EQ,812.0,816.0,823.35,812.0,815.05,815.9,816.65,640249,52286179460000.0,10890.0,305085.0,0.4765,2015,1,2,0.0,0.0,0.0
2015-01-05,INDUSINDBK,EQ,815.9,818.0,821.8,812.05,816.5,819.1,817.07,336910,27527783500000.0,12396.0,130465.0,0.3872,2015,1,5,0.0,0.0,0.0
2015-01-06,INDUSINDBK,EQ,819.1,816.0,816.0,792.35,797.4,798.4,804.5,485801,39082581225000.0,10566.0,146098.0,0.3007,2015,1,6,0.0,0.0,0.0
2015-01-07,INDUSINDBK,EQ,798.4,800.1,805.5,786.55,793.1,791.95,794.28,737973,58615836220000.01,17737.0,115794.0,0.1569,2015,1,7,0.0,0.0,0.0
2015-01-08,INDUSINDBK,EQ,791.95,800.0,804.5,788.45,796.5,798.7,795.7,623621,49621682375000.0,14756.0,259622.0,0.4163,2015,1,8,0.0,0.0,0.0
2015-01-09,INDUSINDBK,EQ,798.7,804.0,810.8,791.55,795.0,802.0,801.96,544145,43638346750000.0,13441.0,196510.0,0.3611,2015,1,9,0.0,0.0,0.0
2015-01-12,INDUSINDBK,EQ,802.0,804.95,839.2,797.0,836.0,829.45,819.9,896776,73526335375000.0,19954.0,286882.0,0.3199,2015,1,12,0.0,0.0,0.0
2015-01-13,INDUSINDBK,EQ,829.45,845.0,849.15,820.05,821.15,825.5,837.72,3264664,273486462615000.0,67468.0,582239.0,0.1783,2015,1,13,0.0,0.0,0.0
2015-01-14,INDUSINDBK,EQ,825.5,831.7,832.9,811.1,820.45,816.65,820.28,1238612,101600630450000.0,37490.0,488799.0,0.3946,2015,1,14,0.0,0.0,0.0
2015-01-15,INDUSINDBK,EQ,816.65,840.5,849.0,825.0,828.25,830.35,833.64,1493767,124526266670000.0,40331.0,607171.0,0.4065,2015,1,15,0.0,0.0,0.0
2015-01-16,INDUSINDBK,EQ,830.35,831.7,837.85,813.3,833.5,831.85,829.27,1160723,96255481665000.0,17518.0,676266.0,0.5826,2015,1,16,0.0,0.0,0.0
2015-01-19,INDUSINDBK,EQ,831.85,835.0,837.8,827.0,830.0,829.15,830.76,612731,50903123135000.0,13363.0,244293.0,0.3987,2015,1,19,0.0,0.0,0.0
2015-01-20,INDUSINDBK,EQ,829.15,830.0,844.5,822.6,842.5,840.45,833.15,1318766,109873171345000.0,18082.0,720479.0,0.5463,2015,1,20,0.0,0.0,66.6193164432554
2015-01-21,INDUSINDBK,EQ,840.45,845.0,859.5,839.45,841.15,842.55,849.9,1462665,124311777275000.0,33975.0,549864.0,0.3759,2015,1,21,0.0,0.0,67.59814131183151
2015-01-22,INDUSINDBK,EQ,842.55,838.5,851.8,837.6,848.95,846.25,845.89,553285,46802044425000.0,11037.0,207024.0,0.3742,2015,1,22,0.0,0.0,69.30591967533495
2015-01-23,INDUSINDBK,EQ,846.25,853.0,863.95,851.0,856.95,857.35,857.05,1179588,101096251075000.0,22942.0,467801.0,0.3965999999999999,2015,1,23,0.0,0.0,73.77205418825615
2015-01-27,INDUSINDBK,EQ,857.35,857.0,870.0,851.4,861.0,863.25,861.8,840924,72471070560000.0,19164.0,421437.0,0.5012,2015,1,27,0.0,0.0,75.78861157382163
2015-01-28,INDUSINDBK,EQ,863.25,859.95,880.0,858.2,867.15,868.75,870.31,925540,80550969815000.0,20802.0,302512.0,0.3268,2015,1,28,0.0,0.0,77.52349556345321
