,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
3740,2015-01-01,SBIN,EQ,311.85,312.45,315.0,310.7,314.0,314.0,313.67,6138488,192548886370000.0,58688.0,1877677.0,0.3059,2015,1,1,0.0,0.0,0.0
3741,2015-01-02,SBIN,EQ,314.0,314.35,318.3,314.35,315.6,315.25,316.8,9935094,314738862990000.0,79553.0,4221685.0,0.4249,2015,1,2,0.0,0.0,0.0
3742,2015-01-05,SBIN,EQ,315.25,316.25,316.8,312.1,312.8,312.75,313.84,9136716,286743167500000.0,88236.0,3845173.0,0.4208,2015,1,5,0.0,0.0,0.0
3743,2015-01-06,SBIN,EQ,312.75,310.0,311.1,298.7,299.9,299.9,305.14,15329257,467760129725000.0,169268.0,7424847.0,0.4844,2015,1,6,0.0,0.0,0.0
3744,2015-01-07,SBIN,EQ,299.9,300.0,302.55,295.15,301.4,300.15,299.95,15046745,451324303375000.0,147185.0,5631400.0,0.3743,2015,1,7,0.0,0.0,0.0
3745,2015-01-08,SBIN,EQ,300.15,305.0,306.5,302.35,305.25,304.85,304.55,8939749,272259269290000.0,85776.0,3656015.0,0.409,2015,1,8,0.0,0.0,0.0
3746,2015-01-09,SBIN,EQ,304.85,306.7,307.85,302.0,303.0,303.2,304.45,11953948,363936137255000.0,86383.0,4412814.0,0.3692,2015,1,9,0.0,0.0,0.0
3747,2015-01-12,SBIN,EQ,303.2,304.15,307.8,301.1,306.9,307.1,305.86,8536142,261090635460000.0,71620.0,3737137.0,0.4378,2015,1,12,0.0,0.0,0.0
3748,2015-01-13,SBIN,EQ,307.1,308.15,310.75,304.15,305.25,305.1,308.22,9484804,292340558630000.0,94825.0,4149653.0,0.4375,2015,1,13,0.0,0.0,0.0
3749,2015-01-14,SBIN,EQ,305.1,304.0,307.0,302.25,305.0,304.7,304.8,8855660,269916496335000.0,105452.0,3883613.0,0.4385,2015,1,14,0.0,0.0,0.0
