,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
3419,2015-01-01,KOTAKBANK,EQ,1263.9,1263.8,1265.0,1251.1,1261.75,1258.6,1259.52,250998,31613772085000.004,9230.0,118205.0,0.4709,2015,1,1,0.0,0.0,0.0
3420,2015-01-02,KOTAKBANK,EQ,1258.6,1261.0,1279.0,1258.3,1278.0,1271.55,1271.97,631815,80365218645000.0,25080.0,387243.0,0.6129,2015,1,2,0.0,0.0,0.0
3421,2015-01-05,KOTAKBANK,EQ,1271.55,1272.1,1278.85,1262.0,1267.6,1266.45,1266.77,305115,38651001310000.0,15419.0,103423.0,0.3389999999999999,2015,1,5,0.0,0.0,0.0
3422,2015-01-06,KOTAKBANK,EQ,1266.45,1255.0,1262.25,1233.55,1253.0,1251.35,1251.25,1134543,141960256935000.0,45554.0,681945.0,0.6011,2015,1,6,0.0,0.0,0.0
3423,2015-01-07,KOTAKBANK,EQ,1251.35,1247.5,1303.95,1247.5,1272.9,1271.5,1280.55,1785887,228692152105000.03,29405.0,1192265.0,0.6676000000000001,2015,1,7,0.0,0.0,0.0
3424,2015-01-08,KOTAKBANK,EQ,1271.5,1300.0,1353.0,1286.4,1343.0,1340.65,1319.67,3454883,455931775860000.06,76329.0,2400955.0,0.6949,2015,1,8,0.0,0.0,0.0
3425,2015-01-09,KOTAKBANK,EQ,1340.65,1354.4,1370.5,1340.55,1359.9,1360.95,1359.17,3218705,437476988235000.06,53915.0,2306638.0,0.7166,2015,1,9,0.0,0.0,0.0
3426,2015-01-12,KOTAKBANK,EQ,1360.95,1360.95,1387.0,1348.3,1372.0,1371.0,1371.59,843421,115682996515000.02,54143.0,437802.0,0.5191,2015,1,12,0.0,0.0,0.0
3427,2015-01-13,KOTAKBANK,EQ,1371.0,1372.0,1409.85,1367.7,1397.5,1392.95,1391.35,960821,133684237705000.0,50646.0,460252.0,0.479,2015,1,13,0.0,0.0,0.0
3428,2015-01-14,KOTAKBANK,EQ,1392.95,1394.1,1397.5,1377.2,1393.0,1391.2,1386.5,759290,105275332895000.0,27053.0,456298.0,0.601,2015,1,14,0.0,0.0,0.0
3429,2015-01-15,KOTAKBANK,EQ,1391.2,1438.0,1444.0,1392.05,1394.9,1400.4,1407.67,1985409,279480461635000.0,34097.0,1422037.0,0.7162000000000001,2015,1,15,0.0,0.0,0.0
3430,2015-01-16,KOTAKBANK,EQ,1400.4,1387.0,1400.0,1380.0,1396.95,1395.35,1385.94,1340300,185757587435000.0,31500.0,1043383.0,0.7785,2015,1,16,0.0,0.0,0.0
3431,2015-01-19,KOTAKBANK,EQ,1395.35,1393.2,1399.0,1382.0,1392.0,1389.45,1389.95,877538,121973570809999.98,24997.0,566837.0,0.6459,2015,1,19,0.0,0.0,0.0
3432,2015-01-20,KOTAKBANK,EQ,1389.45,1392.0,1401.4,1382.65,1393.0,1395.7,1393.21,1891863,263575372840000.0,71231.0,874514.0,0.4623,2015,1,20,0.0,0.0,83.09293190486332
3433,2015-01-21,KOTAKBANK,EQ,1395.7,1396.0,1419.0,1385.05,1387.0,1388.15,1398.71,1342065,187715904745000.0,51126.0,658682.0,0.4908,2015,1,21,0.0,0.0,77.89194713455856
3434,2015-01-22,KOTAKBANK,EQ,1388.15,1386.65,1398.5,1370.15,1387.9,1387.65,1384.63,2000008,276927463350000.0,30854.0,1543030.0,0.7715000000000001,2015,1,22,0.0,0.0,77.54577875372344
3435,2015-01-23,KOTAKBANK,EQ,1387.65,1392.1,1395.75,1382.0,1383.95,1385.3,1387.6,777406,107873232755000.0,51659.0,472525.0,0.6078,2015,1,23,0.0,0.0,75.83979639461313
3436,2015-01-27,KOTAKBANK,EQ,1385.3,1383.4,1393.0,1362.3,1390.15,1388.35,1374.22,843366,115897463045000.0,41025.0,544259.0,0.6453,2015,1,27,0.0,0.0,76.56053974067825
3437,2015-01-28,KOTAKBANK,EQ,1388.35,1383.1,1390.0,1346.55,1355.0,1351.15,1376.95,3720199,512252846860000.06,52071.0,3326734.0,0.8942,2015,1,28,0.0,0.0,55.006743592092924
3438,2015-01-29,KOTAKBANK,EQ,1351.15,1349.0,1354.85,1324.75,1328.0,1331.4,1335.26,2250427,300490857735000.0,80632.0,1626699.0,0.7228,2015,1,29,0.0,0.0,47.38024899766126
3439,2015-01-30,KOTAKBANK,EQ,1331.4,1340.0,1348.9,1317.35,1318.0,1322.2,1329.5,1399250,186030002640000.0,66959.0,975663.0,0.6973,2015,1,30,0.0,0.0,44.29912225609231
3440,2015-02-02,KOTAKBANK,EQ,1322.2,1320.0,1360.0,1304.4,1355.35,1352.35,1329.1,1656369,220147741465000.0,38801.0,1207033.0,0.7287,2015,2,2,0.0,0.0,54.696584315059994
3441,2015-02-03,KOTAKBANK,EQ,1352.35,1360.9,1366.0,1300.1,1300.3,1306.3,1323.51,1530821,202604943165000.0,65479.0,990990.0,0.6474,2015,2,3,0.0,0.0,41.84773437310051
3442,2015-02-04,KOTAKBANK,EQ,1306.3,1308.95,1328.35,1285.0,1288.9,1291.5,1303.03,1178329,153540020860000.0,32819.0,740355.0,0.6283,2015,2,4,0.0,0.0,38.70111446247623
